Node,Location,Employer,College
U1313,['norfolk virginia area'],"['chesapeake va and sumter sc', 'ctb mcgraw-hill', 'discovery education', 'south carolina department of education', 'university of charleston university of south carolina', 'virgina state corrections']",['longwood university']
U8804,['bologna area italy'],"['econoetica', 'gruppo euris spa', 'iconsulting', 'universit&#xe0; di bologna', 'university of illinois at urbana-champaign']",['universit&#xe0; di bologna']
U2649,['urbana-champaign illinois area'],"['bocom international', 'glaxosmithkline plc', 'inventiv health', 'zhongrong international trust co. ltd']",['shanghai university of finance and economics']
U7310,['greater seattle area'],"['illinois computer technology', 'microsoft', 'state farm insurance', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U22859,['bengaluru area india'],"['amazon', 'coordinated science lab', 'ibm india research lab', 'toyota technical center']",['indian institute of technology madras']
U25611,['greater boston area'],"['bluegranite', 'measured progress', 'sweetser']","['penn high school', 'university of southern maine']"
U3895,['greater boston area'],"['google', 'microsoft', 'morgan stanley', 'vertica systems an hp company']",['shanghai jiao tong university']
U13005,['bloomington normal illinois area'],"['illinois state university', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U9140,['urbana-champaign illinois area'],"['instituno nacional de estudos e pesquisas educacionais an&#xed;sio teixeira - inep', 'ipea', 'university of illinois at urbana-champaign']",['sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;']
U7092,['san francisco bay area'],"['dropbox', 'hewlett-packard', 'orchestra inc.', 'state farm research and development center', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U15272,['san francisco bay area'],"['information engineers and consultants bangladesh ltd.', 'msr cambridge', 'msr redmond', 'uc berkeley', 'university of waterloo']",['bangladesh university of engineering and technology']
U3933,['shanghai city china'],"['generalbiologic', 'hubs1', 'izenesoft (shanghai) co. ltd', 'woyo.com']",['shanghai jiao tong university']
U11562,['urbana-champaign illinois area'],"['facebook', 'microsoft', 'university of illinois at urbana-champaign']",['shanghai jiao tong university']
U22071,['greater chicago area'],"['chicago public schools', 'children&#x2019;s discovery museum', 'illinois wesleyan development department', 'martin flory group']",['illinois wesleyan university']
